Date,Symbol,Quantity,Value
1094,XLF,1,18.716992
1094,XLK,1,42.22
1095,XLF,-1,-18.846915
1095,XLK,-1,-42.73
1096,XLF,1,18.830674
1097,XLF,-1,-19.11488
1099,XLF,1,19.204202
1103,XLK,1,44.04
1104,XLF,1,19.09052
1105,XLF,-1,-19.204202
1105,XLK,-1,-44.02
1108,XLF,1,19.041799
1113,XLF,-1,-18.473387
1114,XLF,1,18.359704
1115,XLF,-1,-18.465267
1118,XLF,-1,-18.944357
1119,XLF,4,71.71734
1119,XLK,1,42.28
1120,XLF,-1,-17.417765
1120,XLK,-1,-41.43
1121,XLF,-3,-53.59312200000001
1124,XLF,1,18.465267
1125,XLF,1,18.189181
1126,XLF,-1,-18.237902
1128,XLF,-1,-18.61143
1129,XLF,1,18.716992
1130,XLF,-1,-18.952477
1131,XLF,1,18.952477
1132,XLF,-1,-19.131121
1133,XLF,1,19.09864
1134,XLF,-1,-19.163601
1137,XLF,1,19.10676
1138,XLF,-1,-19.228563
1139,XLF,1,19.187962
1140,XLF,-1,-19.204202
1143,XLF,1,19.204202
1146,XLF,-1,-19.187962
1147,XLF,1,19.139241
1148,XLF,-2,-39.009296
1149,XLF,1,19.529009
1151,XLF,1,19.390966
1152,XLF,-1,-19.431567
1153,XLF,1,19.374726
1154,XLF,-1,-19.504648
1165,XLU,1,49.03
1172,XLF,1,19.520889
1173,XLF,-1,-19.740133
1174,XLF,1,19.390966
1175,XLF,-1,-19.342245
1177,XLF,1,19.179842
1178,XLF,-1,-19.31
1179,XLF,1,19.32
1180,XLF,-1,-19.44
1181,XLF,1,19.48
1183,XLF,1,19.07
1184,XLF,-1,-19.22
1186,XLF,1,19.04
1187,XLF,-2,-38.6
1187,XLK,-1,-47.78
1188,XLF,1,19.21
1188,XLK,1,47.64
1190,XLF,-1,-19.6
1192,XLB,1,46.86
1193,XLK,-1,-47.95
1194,XLF,1,19.54
1195,XLF,-1,-19.52
1196,XLF,1,19.33
1197,XLF,-1,-19.42
1198,XLF,1,19.33
1199,XLF,-1,-19.49
1202,XLF,1,19.65
1203,XLF,-1,-19.71
1204,XLF,1,19.69
1205,XLF,-1,-19.81
1207,XLF,1,19.77
1213,XLF,-2,-39.96
1214,XLF,2,39.98
1215,XLF,-3,-62.52
1217,XLF,1,21.67
1217,XLB,1,48.15
1218,XLF,-1,-22.2
1218,XLK,-1,-46.02
1220,XLF,1,21.86
1221,XLF,-2,-44.32
1223,XLF,-1,-22.24
1225,XLP,1,50.82
1228,XLF,-1,-22.21
1228,XLU,-1,-48.27
1229,XLF,-1,-22.51
1230,XLP,1,50.25
1230,XLB,1,49.96
1231,XLF,1,22.65
1232,XLF,-2,-45.84
1234,XLF,-1,-23.48
1235,XLP,1,51.3
1237,XLF,1,23.52
1238,XLF,-1,-23.58
1240,XLP,1,52.14
1240,XLF,-1,-23.67
1241,XLF,1,23.36
1241,XLU,-1,-48.41
1242,XLF,-1,-23.37
1246,XLF,-1,-23.58
1248,XLP,1,51.73
1248,XLF,1,23.37
1249,XLF,-1,-23.2
1251,XLF,-1,-23.51
1253,XLF,1,23.46
1253,XLB,1,50.57
1254,XLF,-1,-23.54
1257,XLF,-1,-23.58
1258,XLP,1,51.49
1258,XLF,1,23.38
1259,XLF,-1,-23.51
1260,XLF,1,22.95
1261,XLF,-1,-23.14
1262,XLF,1,23.04
1263,XLF,-1,-23.15
1263,XLB,-1,-51.09
1264,XLF,1,23.0
1264,XLB,1,51.19
1265,XLF,-1,-23.29
1265,XLB,-1,-52.51
1269,XLF,1,23.46
1271,XLF,-1,-23.34
1273,XLF,-1,-23.72
1274,XLF,1,23.61
1279,XLF,-1,-24.05
1287,XLF,1,24.42
1288,XLF,-1,-24.55
1290,XLF,-1,-25.24
1291,XLP,1,55.35
1291,XLF,1,24.85
1291,XLB,1,52.7
1292,XLF,-1,-24.97
1292,XLB,-1,-52.66
1293,XLF,1,24.78
1293,XLB,1,52.32
1294,XLF,-1,-24.71
1304,XLF,1,23.57
1305,XLF,-1,-23.52
1309,XLB,-1,-52.37
1310,XLB,1,52.41
1311,XLB,-1,-52.42
1312,XLB,1,52.41
1314,XLB,-1,-52.4
1321,XLF,1,22.9
1322,XLF,-1,-23.3
1323,XLF,1,23.08
1324,XLF,-1,-23.01
1326,XLF,1,23.16
1327,XLF,-2,-47.36
1328,XLF,1,23.89
1344,XLF,1,23.06
1344,XLB,1,51.96
1345,XLF,-1,-23.15
